,x
clariomdhuman,164
clariomshuman,143
clariomshumanht,103
hgu133a,43572
hgu133a2,18948
hgu133b,8120
hgu133plus2,150783
hgu219,9832
hgu95a,1095
hgu95av2,6435
hgu95b,513
hgu95c,505
hgu95d,194
hgu95e,193
hta20,9689
hthgu133a,6623
hthgu133pluspm,9652
hugene10st,38138
hugene11st,7922
hugene20st,6221
hugene21st,2926
Illumina_Human-6_v1.0,1568
Illumina_Human-6_V2.0,5975
Illumina_HumanHT-12_V3.0,24865
Illumina_HumanHT-12_V4.0,79454
Illumina_HumanRef-8_v1.0,473
Illumina_HumanRef-8_v2.0,7658
Illumina_HumanRef-8_v3.0,7138
Illumina_HumanWG-6_V3.0,8477
primeview,4881
primeview_spikeins,561
u133aaofav2,810
RNA-seq,133776
