Gene	average_expression	Freq	Gene_category	Proportion_zero
ENSDARG00000000002	-0.24496254473018506	770	other	0.06688091722400764
ENSDARG00000000018	0.6395620246369997	21	other	0.0018240250152002084
ENSDARG00000000019	1.1187219191890272	12	other	0.0010423000086858334
ENSDARG00000000068	0.47356171637562794	769	other	0.06679405888995049
ENSDARG00000000069	0.9083765784228255	7	other	6.080083384000695e-4
ENSDARG00000000086	-0.030202506160489792	168	other	0.014592200121601668
ENSDARG00000000103	1.1884576385305847	7	other	6.080083384000695e-4
ENSDARG00000000151	0.14666779699557891	1385	high zero count	0.1202987926691566
ENSDARG00000000161	-0.06580304880639964	663	other	0.057587075479892294
ENSDARG00000000175	0.1022684893062965	1012	other	0.08790063406583862
ENSDARG00000000183	0.12339699922412797	85	other	0.007382958394857987
ENSDARG00000000189	0.36398056600508916	83	other	0.007209241726743681
ENSDARG00000000212	1.4187179222500346	224	other	0.019456266828802225
ENSDARG00000000229	-0.10488837669442395	103	other	0.008946408407886736
ENSDARG00000000241	0.8240767470121578	389	other	0.03378789194823243
ENSDARG00000000380	0.1111342251631613	3759	high zero count	0.3265004777208373
ENSDARG00000000394	1.3131648465842334	5	other	4.342916702857639e-4
ENSDARG00000000442	0.4442385436151264	318	other	0.027620950230174586
ENSDARG00000000472	-0.06005198202749693	1425	high zero count	0.12377312603144272
ENSDARG00000000476	0.04895846973434462	2900	high zero count	0.2518891687657431
ENSDARG00000000489	0.4256940316994365	40	other	0.0034743333622861113
ENSDARG00000000503	0.44750850232908784	365	other	0.031703291930860765
ENSDARG00000000529	0.07904261460437176	350	other	0.030400416920003476
ENSDARG00000000540	0.3931713800558626	123	other	0.010683575089029793
ENSDARG00000000542	0.32093141079608917	292	other	0.025362633544688613
ENSDARG00000000551	0.6397740820140257	305	other	0.026491791887431598
ENSDARG00000000563	0.7722026045581554	109	other	0.009467558412229654
ENSDARG00000000567	0.7205851343431613	86	other	0.00746981672891514
ENSDARG00000000568	0.5347245383242216	16	other	0.0013897333449144446
ENSDARG00000000588	0.00602822517959995	1757	high zero count	0.15261009293841743
ENSDARG00000000606	0.02348718083018986	2452	high zero count	0.21297663510813863
ENSDARG00000000631	0.6854132226513677	230	other	0.01997741683314514
ENSDARG00000000638	0.004508051826602569	2365	high zero count	0.20541996004516633
ENSDARG00000000651	-0.07359400117721202	2376	high zero count	0.20637540171979502
ENSDARG00000000666	0.61340273597896	242	other	0.021019716841830974
ENSDARG00000000690	0.5284803464300543	320	other	0.02779466689828889
ENSDARG00000000729	0.1981459469374606	58	other	0.005037783375314861
ENSDARG00000000730	-0.1185828747501983	1676	high zero count	0.14557456787978806
ENSDARG00000000760	0.07295708491771868	966	other	0.08390515069920959
ENSDARG00000000767	0.11064622223182402	1560	high zero count	0.13549900112915833
ENSDARG00000000779	0.96847174034237	32	other	0.0027794666898288893
ENSDARG00000000796	0.46974026623589854	181	other	0.015721358464344654
ENSDARG00000000804	0.35676534100074087	417	other	0.03621992530183271
ENSDARG00000000830	0.2422188361728058	1346	high zero count	0.11691131764092765
ENSDARG00000000853	0.7678803099998682	10	other	8.685833405715278e-4
ENSDARG00000000857	1.1707764445968762	253	other	0.021975158516459654
ENSDARG00000000861	0.1800371309153082	3	other	2.6057500217145836e-4
ENSDARG00000000887	0.5072213548868311	1560	high zero count	0.13549900112915833
ENSDARG00000000906	-0.16904081580193972	1827	high zero count	0.15869017632241814
ENSDARG00000000935	0.15707617828307763	217	other	0.018848258490402153
ENSDARG00000000943	0.134528980872866	459	other	0.03986797533223313
ENSDARG00000000966	0.5482866045073063	12	other	0.0010423000086858334
ENSDARG00000001014	0.9948025735596371	3	other	2.6057500217145836e-4
ENSDARG00000001015	1.0296251234785256	91	other	0.007904108399200903
ENSDARG00000001057	1.017068023520247	45	other	0.0039086250325718755
ENSDARG00000001129	0.7285950366731824	8	other	6.948666724572223e-4
ENSDARG00000001162	1.2034389559049763	20	other	0.0017371666811430556
ENSDARG00000001169	0.15177437954171658	1485	high zero count	0.12898462607487188
ENSDARG00000001210	1.6520168401035207	118	other	0.010249283418744029
ENSDARG00000001220	0.8602380187359064	12	other	0.0010423000086858334
ENSDARG00000001241	1.6606057367003186	18	other	0.00156345001302875
ENSDARG00000001244	1.1015240594988767	1	other	8.685833405715279e-5
ENSDARG00000001249	-0.024068610552537235	790	other	0.0686180839051507
ENSDARG00000001313	0.38918680404011263	142	other	0.012333883436115696
ENSDARG00000001431	0.9056139853746228	168	other	0.014592200121601668
ENSDARG00000001442	-0.01683621902877199	3126	high zero count	0.2715191522626596
ENSDARG00000001447	0.0741444366173795	119	other	0.01033614175280118
