Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000098608	-1.7002589462814657	0.2630720464489585	-234.73745829172364	0	0	11000.664452277171
ENSDARG00000074720	-1.022234834276931	0.024651159886473276	-223.04568286657212	0	0	10449.461938916656
ENSDARG00000061547	-3.31726303972446	0.6589413626194739	-219.07993331897578	0	0	10258.713153993145
ENSDARG00000061728	-1.3396625055364264	0.16429325132470532	-215.3271913455964	0	0	10076.423959906095
ENSDARG00000040556	-1.9073210786770878	0.29454687346955355	-214.44645512876087	0	0	10033.389628022744
ENSDARG00000086996	-1.6846655134016444	0.21980092905110055	-199.28622457183587	0	0	9277.484559448136
ENSDARG00000097519	-1.7585838703056491	0.2296025653866443	-197.3614870051537	0	0	9179.460904025502
ENSDARG00000010032	-1.3517814706911246	0.1325939768613312	-193.80998774592072	0	0	8997.374894139351
ENSDARG00000099845	-1.6834607447953585	0.1439885078111303	-193.64368153171833	0	0	8988.809798799495
ENSDARG00000090847	-2.4438782572058346	0.40300597217568096	-192.5276939887508	0	0	8931.24518010893
ENSDARG00000057042	-1.008035458491229	0.08983016534232711	-192.04005886827292	0	0	8906.04345109906
ENSDARG00000071733	-1.1927670464811324	0.10867725470872563	-187.72473489274122	0	0	8681.735061689706
ENSDARG00000096346	-1.3766983570648612	0.1950364618232557	-186.52644876619476	0	0	8619.040201619222
ENSDARG00000071339	-0.7612155816633808	0.03313202879916678	-185.4697986492032	0	0	8563.60908664274
ENSDARG00000090194	-1.147335793362501	0.2631456555128476	-183.94167162342927	0	0	8483.202114764199
ENSDARG00000097179	-1.7103021629924062	0.17960135520786094	-182.9963850048143	0	0	8433.319903103145
ENSDARG00000103670	-1.1715085179422753	0.4931690477399873	-180.10249107354264	0	0	8279.934138800325
ENSDARG00000092172	-1.5684756498229875	0.34380726193750666	-178.7417734234256	0	0	8207.461003011014
ENSDARG00000099997	-1.0029046440145535	0.15109893335047508	-177.5810554804219	0	0	8145.463885424508
ENSDARG00000102511	-0.9774843599247812	0.18968430041399192	-175.90824433923277	0	0	8055.830731803891
ENSDARG00000100938	-0.9058976067239369	0.14597264335341142	-175.1304738953117	0	0	8014.04244898254
ENSDARG00000099331	-0.9767651744410741	0.08477328892458996	-175.12009589107655	0	0	8013.484371117001
ENSDARG00000068156	-1.2856955894979587	0.21274220534754346	-174.41161139712136	0	0	7975.355419722982
ENSDARG00000097452	-1.3476904570948587	0.27978165168720326	-173.9603340357892	0	0	7951.03781907712
ENSDARG00000098017	-1.215285872544868	0.13637908680104033	-173.36355542121268	0	0	7918.842864534858
ENSDARG00000056855	-1.365883064416499	0.3308803938749308	-173.00176766330344	0	0	7899.304789654074
ENSDARG00000035434	-0.8769397407500603	0.10820053221942341	-172.40471390710542	0	0	7867.027793676472
ENSDARG00000110357	-1.5224151993757333	0.4265627305297476	-171.93376809603217	0	0	7841.538841856472
ENSDARG00000045131	-2.1416346726114814	0.5378597883852976	-171.93292000214402	0	0	7841.492917208481
ENSDARG00000014941	-0.7599747978946334	0.056502024104382355	-171.16965496901074	0	0	7800.127832626732
ENSDARG00000054164	-0.9599386426693021	0.24699280572546667	-169.67489868597363	0	0	7718.923994949448
ENSDARG00000053166	-1.0672458517194887	0.12164640049097775	-168.81008427847914	0	0	7671.824717665123
ENSDARG00000083312	-2.9721871826485864	1.0444317602994608	-167.87225027990337	0	0	7620.651973872159
ENSDARG00000094530	-1.8177029695036218	0.2873415758062913	-166.94919989786834	0	0	7570.188253858743
