Gene	gene_length
ENSDARG00000000001	2476
ENSDARG00000000002	2604
ENSDARG00000000018	3013
ENSDARG00000000019	2758
ENSDARG00000000068	2397
ENSDARG00000000069	2290
ENSDARG00000000086	6364
ENSDARG00000000103	7721
ENSDARG00000000142	1398
ENSDARG00000000151	2720
ENSDARG00000000161	5735
ENSDARG00000000175	1832
ENSDARG00000000183	6573
ENSDARG00000000189	7536
ENSDARG00000000212	1503
ENSDARG00000000229	5353
ENSDARG00000000241	3780
ENSDARG00000000324	1824
ENSDARG00000000349	1223
ENSDARG00000000369	1361
ENSDARG00000000370	8958
ENSDARG00000000380	3984
ENSDARG00000000394	3991
ENSDARG00000000423	1958
ENSDARG00000000442	3061
ENSDARG00000000460	942
ENSDARG00000000472	3357
ENSDARG00000000474	546
ENSDARG00000000476	3036
ENSDARG00000000489	2580
ENSDARG00000000503	6827
ENSDARG00000000516	4335
ENSDARG00000000529	2951
ENSDARG00000000540	6343
ENSDARG00000000542	6403
ENSDARG00000000551	4957
ENSDARG00000000563	88557
ENSDARG00000000567	5617
ENSDARG00000000568	4151
ENSDARG00000000588	2429
ENSDARG00000000606	12816
ENSDARG00000000631	6116
ENSDARG00000000638	1379
ENSDARG00000000651	1386
ENSDARG00000000656	1153
ENSDARG00000000666	2321
ENSDARG00000000690	1966
ENSDARG00000000729	3191
ENSDARG00000000730	2752
ENSDARG00000000747	2798
ENSDARG00000000760	951
ENSDARG00000000767	2475
ENSDARG00000000779	2124
ENSDARG00000000796	5776
ENSDARG00000000804	1602
ENSDARG00000000830	2981
ENSDARG00000000837	3267
ENSDARG00000000853	3842
ENSDARG00000000857	3255
ENSDARG00000000861	9356
ENSDARG00000000887	1392
ENSDARG00000000906	1524
ENSDARG00000000935	8207
ENSDARG00000000943	3355
ENSDARG00000000966	10270
ENSDARG00000001014	9635
ENSDARG00000001015	7660
ENSDARG00000001057	1504
ENSDARG00000001127	2608
ENSDARG00000001129	9940
ENSDARG00000001154	4519
ENSDARG00000001162	5193
ENSDARG00000001169	1724
ENSDARG00000001210	949
ENSDARG00000001220	15337
ENSDARG00000001234	3149
ENSDARG00000001241	2450
ENSDARG00000001244	4499
ENSDARG00000001249	1419
ENSDARG00000001259	1090
ENSDARG00000001303	1620
ENSDARG00000001313	3360
ENSDARG00000001354	2408
ENSDARG00000001414	2828
ENSDARG00000001431	6533
ENSDARG00000001437	1792
ENSDARG00000001442	4105
ENSDARG00000001447	3766
ENSDARG00000001452	3337
ENSDARG00000001463	3152
ENSDARG00000001470	2188
ENSDARG00000001498	3252
ENSDARG00000001549	2996
ENSDARG00000001557	2990
ENSDARG00000001558	2560
ENSDARG00000001559	12563
ENSDARG00000001572	1854
ENSDARG00000001578	1421
ENSDARG00000001621	4130
ENSDARG00000001634	9034
ENSDARG00000001656	1486
ENSDARG00000001676	2380
ENSDARG00000001686	2043
ENSDARG00000001710	3796
ENSDARG00000001712	4732
ENSDARG00000001721	3451
ENSDARG00000001729	4060
ENSDARG00000001733	3356
ENSDARG00000001734	2125
ENSDARG00000001754	3189
ENSDARG00000001760	6359
ENSDARG00000001767	3762
ENSDARG00000001769	3733
ENSDARG00000001771	1520
ENSDARG00000001776	4444
ENSDARG00000001777	4400
ENSDARG00000001781	3170
ENSDARG00000001782	2627
ENSDARG00000001785	6850
ENSDARG00000001788	1410
ENSDARG00000001803	4933
ENSDARG00000001804	1818
ENSDARG00000001807	4854
ENSDARG00000001817	663
ENSDARG00000001818	5732
ENSDARG00000001825	5120
ENSDARG00000001829	3299
ENSDARG00000001835	7335
ENSDARG00000001857	3695
ENSDARG00000001859	1401
ENSDARG00000001870	4471
ENSDARG00000001873	2374
ENSDARG00000001879	8269
ENSDARG00000001880	2679
ENSDARG00000001881	2375
ENSDARG00000001882	5122
ENSDARG00000001888	3342
ENSDARG00000001889	1537
ENSDARG00000001890	7122
ENSDARG00000001891	2776
ENSDARG00000001897	3517
ENSDARG00000001898	3390
ENSDARG00000001906	5033
ENSDARG00000001909	2698
ENSDARG00000001910	4487
ENSDARG00000001912	6485
ENSDARG00000001913	7806
ENSDARG00000001929	4010
ENSDARG00000001930	5819
ENSDARG00000001933	2241
ENSDARG00000001937	5631
ENSDARG00000001939	4051
ENSDARG00000001940	2265
ENSDARG00000001950	904
ENSDARG00000001953	3827
ENSDARG00000001968	5682
ENSDARG00000001969	4627
ENSDARG00000001971	1066
ENSDARG00000001975	2592
ENSDARG00000001976	1509
ENSDARG00000001993	6228
ENSDARG00000001994	3629
ENSDARG00000001999	7458
ENSDARG00000002002	1453
ENSDARG00000002006	6470
ENSDARG00000002013	2792
ENSDARG00000002016	1921
ENSDARG00000002020	7816
ENSDARG00000002021	2860
ENSDARG00000002026	1681
ENSDARG00000002031	2198
ENSDARG00000002037	3249
ENSDARG00000002060	2807
ENSDARG00000002071	2187
ENSDARG00000002077	1243
ENSDARG00000002082	5264
ENSDARG00000002084	5462
ENSDARG00000002097	1783
ENSDARG00000002127	3717
ENSDARG00000002128	1993
ENSDARG00000002131	3783
ENSDARG00000002165	1173
ENSDARG00000002167	2889
ENSDARG00000002168	2045
ENSDARG00000002172	1708
ENSDARG00000002174	1482
ENSDARG00000002184	2482
ENSDARG00000002190	1986
ENSDARG00000002192	1973
ENSDARG00000002193	1546
ENSDARG00000002194	2073
ENSDARG00000002196	6168
ENSDARG00000002197	2797
ENSDARG00000002204	1042
ENSDARG00000002210	2118
ENSDARG00000002213	3827
ENSDARG00000002215	2731
ENSDARG00000002216	3872
ENSDARG00000002217	3160
ENSDARG00000002219	2069
ENSDARG00000002220	1103
ENSDARG00000002230	4078
ENSDARG00000002231	1185
ENSDARG00000002235	3509
ENSDARG00000002240	1259
ENSDARG00000002241	1482
ENSDARG00000002249	2272
ENSDARG00000002255	3418
ENSDARG00000002259	1675
ENSDARG00000002264	640
ENSDARG00000002267	2495
ENSDARG00000002271	2588
ENSDARG00000002285	5620
ENSDARG00000002293	1549
ENSDARG00000002295	3378
ENSDARG00000002298	1106
ENSDARG00000002299	1971
ENSDARG00000002300	3557
ENSDARG00000002304	853
ENSDARG00000002305	2829
ENSDARG00000002311	636
ENSDARG00000002330	2138
ENSDARG00000002332	4840
ENSDARG00000002333	1473
ENSDARG00000002336	3657
ENSDARG00000002339	1637
ENSDARG00000002344	1833
ENSDARG00000002347	2832
ENSDARG00000002353	3030
ENSDARG00000002355	1505
ENSDARG00000002362	2717
ENSDARG00000002365	2156
ENSDARG00000002369	1650
ENSDARG00000002377	3021
ENSDARG00000002385	9714
ENSDARG00000002391	1076
ENSDARG00000002394	1530
ENSDARG00000002396	2045
ENSDARG00000002401	4558
ENSDARG00000002402	2759
ENSDARG00000002403	1923
ENSDARG00000002405	4143
ENSDARG00000002406	1534
ENSDARG00000002411	3317
ENSDARG00000002445	3694
ENSDARG00000002463	3486
ENSDARG00000002467	1774
ENSDARG00000002479	4697
ENSDARG00000002483	1594
ENSDARG00000002487	3002
ENSDARG00000002494	5168
ENSDARG00000002506	1324
ENSDARG00000002507	8704
ENSDARG00000002508	2257
ENSDARG00000002509	1683
ENSDARG00000002510	1430
ENSDARG00000002523	5682
ENSDARG00000002533	1602
ENSDARG00000002536	2466
ENSDARG00000002538	2223
ENSDARG00000002546	2747
ENSDARG00000002549	4121
ENSDARG00000002552	3310
ENSDARG00000002564	1366
ENSDARG00000002571	1476
ENSDARG00000002576	1554
ENSDARG00000002582	8686
ENSDARG00000002587	5438
ENSDARG00000002589	839
ENSDARG00000002591	1898
ENSDARG00000002593	1745
ENSDARG00000002597	2715
ENSDARG00000002600	2516
ENSDARG00000002601	1187
ENSDARG00000002607	4467
ENSDARG00000002609	5711
ENSDARG00000002613	643
ENSDARG00000002632	2919
ENSDARG00000002634	1123
ENSDARG00000002635	3814
ENSDARG00000002642	2318
ENSDARG00000002644	3255
ENSDARG00000002656	7466
ENSDARG00000002659	4918
ENSDARG00000002663	2455
ENSDARG00000002666	1527
ENSDARG00000002670	2864
ENSDARG00000002682	6479
ENSDARG00000002685	2039
ENSDARG00000002690	1316
ENSDARG00000002696	2642
ENSDARG00000002701	4625
ENSDARG00000002707	1166
ENSDARG00000002710	3574
ENSDARG00000002720	1974
ENSDARG00000002722	888
ENSDARG00000002728	1101
ENSDARG00000002731	1375
ENSDARG00000002732	2218
ENSDARG00000002745	2382
ENSDARG00000002748	3378
ENSDARG00000002750	4361
ENSDARG00000002754	1164
ENSDARG00000002758	3983
ENSDARG00000002760	2754
ENSDARG00000002764	1311
ENSDARG00000002768	1181
ENSDARG00000002771	6692
ENSDARG00000002779	1117
ENSDARG00000002787	4159
ENSDARG00000002790	2300
ENSDARG00000002791	4285
ENSDARG00000002792	3038
ENSDARG00000002795	2373
ENSDARG00000002797	1764
ENSDARG00000002798	2210
ENSDARG00000002816	4119
ENSDARG00000002826	1909
ENSDARG00000002830	2466
ENSDARG00000002831	10607
ENSDARG00000002840	5496
ENSDARG00000002847	6152
ENSDARG00000002872	2503
ENSDARG00000002877	6020
ENSDARG00000002880	4161
ENSDARG00000002894	2401
ENSDARG00000002897	3939
ENSDARG00000002909	4575
ENSDARG00000002912	3187
ENSDARG00000002916	4867
ENSDARG00000002917	2244
ENSDARG00000002933	2095
ENSDARG00000002937	2937
ENSDARG00000002945	3042
ENSDARG00000002947	2389
ENSDARG00000002949	1773
ENSDARG00000002952	6212
ENSDARG00000002956	5121
ENSDARG00000002959	1353
ENSDARG00000002967	1421
ENSDARG00000002968	2584
ENSDARG00000002970	2085
ENSDARG00000002971	4515
ENSDARG00000002986	1935
ENSDARG00000002988	968
ENSDARG00000002991	4259
ENSDARG00000002994	3331
ENSDARG00000003008	4572
ENSDARG00000003017	1820
ENSDARG00000003020	1935
ENSDARG00000003021	2393
ENSDARG00000003022	2584
ENSDARG00000003027	1682
ENSDARG00000003032	2276
ENSDARG00000003035	4655
ENSDARG00000003041	1239
ENSDARG00000003046	4603
ENSDARG00000003054	3875
ENSDARG00000003058	3083
ENSDARG00000003061	3814
ENSDARG00000003068	5133
ENSDARG00000003069	3905
ENSDARG00000003077	2695
ENSDARG00000003081	6175
ENSDARG00000003084	4034
ENSDARG00000003085	3851
ENSDARG00000003087	2038
ENSDARG00000003090	1209
ENSDARG00000003091	2389
ENSDARG00000003098	7019
ENSDARG00000003109	3813
ENSDARG00000003113	2321
ENSDARG00000003127	5084
ENSDARG00000003132	873
ENSDARG00000003142	3060
ENSDARG00000003144	1395
ENSDARG00000003146	2216
ENSDARG00000003151	1116
ENSDARG00000003153	1201
ENSDARG00000003157	3889
ENSDARG00000003165	4077
ENSDARG00000003167	4154
ENSDARG00000003169	9164
ENSDARG00000003175	2622
ENSDARG00000003181	1362
ENSDARG00000003189	3555
ENSDARG00000003193	4406
ENSDARG00000003197	1616
ENSDARG00000003200	3831
ENSDARG00000003203	2183
ENSDARG00000003205	2844
ENSDARG00000003206	1307
ENSDARG00000003207	1471
ENSDARG00000003208	4584
ENSDARG00000003210	1649
ENSDARG00000003213	3537
ENSDARG00000003216	1723
